Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023
01001;L'Abergement-Clémenciat;2;6.2;3.7;0;24.1;72.3;15.9;6.8
01002;L'Abergement-de-Varey;2;21.1;0;0;64.8;35.2;9.2;1.5
01004;Ambérieu-en-Bugey;10;-7.8;35.6;0;49;15.4;24.6;61
01005;Ambérieux-en-Dombes;2;9.6;6.7;0;3.4;78.3;15.9;12.2
01006;Ambléon;1;289.4;5.5;0;73.8;20.7;5.9;0.7
01007;Ambronay;11;5.9;13;0;25.7;59.4;33.5;23.7
01008;Ambutrix;2;19.8;12.4;0;30.4;57.1;5.2;3.3
01009;Andert-et-Condon;1;-37.1;0;4.6;57.2;38.1;6.9;2.3
01010;Anglefort;0;-8.7;5.1;0;67.2;22.1;29.3;9.4
01011;Apremont;1;3.5;1.8;0;65.6;32.7;14.6;4.6
01012;Aranc;2;-34.2;0;1.8;61.3;36.9;21.6;2.9
01013;Arandas;1;7.5;0;0;71.4;28.6;14.1;0.1
01014;Arbent;6;N/A - résultat non disponible;16.3;0;80.7;3;23.5;24.1
01015;Arboys en Bugey;1;30.1;3.2;0.3;56.3;40.2;22.5;7.3
01016;Arbigny;9;10.6;3;0;20.7;74.5;17.5;5.5
01017;Argis;4;12.5;7.3;0;62;30.7;7.8;0.5
01019;Armix;0;107.4;0;0;67.8;32.2;6.8;0
01021;Ars-sur-Formans;4;-9.5;12.4;0;1.3;86.3;5.5;5.8
01022;Artemare;3;60;28.1;0;38.6;33.2;3.8;5.7
01023;Asnières-sur-Saône;8;4.8;0;0;0;89.3;4.7;0.1
01024;Attignat;5;-0.7;15.8;0;10.6;73.1;18.7;28.2
01025;Bâgé-Dommartin;7;19.9;4.5;0;9.6;85.9;56.9;63.9
01026;Bâgé-le-Châtel;5;N/A - résultat non disponible;59.5;0;0;40.5;0.9;8.6
01027;Balan;4;-10.6;21.2;1.9;31.4;43.2;18;10.6
01028;Baneins;2;-13.6;2.9;0;8.3;88.8;8.9;2.7
01029;Beaupont;4;-6.7;4.3;0;7.3;88.5;14.1;6.7
01030;Beauregard;6;N/A - résultat non disponible;47;0;0;44.1;0.9;2.8
01031;Bellignat;1;N/A - résultat non disponible;27.2;0;66.2;6.7;7.8;4.4
01032;Béligneux;2;3.9;17.2;0;30.8;52;13.3;7.8
01033;Valserhône;9;10.6;14.9;0;60;24.3;62.5;84
01034;Belley;7;-26.7;24.2;0.7;17.1;56.1;22.4;64
01035;Belleydoux;0;19;2.1;0;76.7;21.2;17.6;2
