Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023;Population au dernier recensement 2021
01001;L'Abergement-Clémenciat;2;6.2;3.7;0;24.1;72.3;15.9;6.8;832
01002;L'Abergement-de-Varey;2;21.1;0;0;64.8;35.2;9.2;1.5;267
01004;Ambérieu-en-Bugey;10;-7.8;35.6;0;49;15.4;24.6;61;14854
01005;Ambérieux-en-Dombes;2;9.6;6.7;0;3.4;78.3;15.9;12.2;1897
01006;Ambléon;1;289.4;5.5;0;73.8;20.7;5.9;0.7;113
01007;Ambronay;11;5.9;13;0;25.7;59.4;33.5;23.7;2833
01008;Ambutrix;2;19.8;12.4;0;30.4;57.1;5.2;3.3;768
01009;Andert-et-Condon;1;-37.1;0;4.6;57.2;38.1;6.9;2.3;322
01010;Anglefort;0;-8.7;5.1;0;67.2;22.1;29.3;9.4;1125
01011;Apremont;1;3.5;1.8;0;65.6;32.7;14.6;4.6;383
01012;Aranc;2;-34.2;0;1.8;61.3;36.9;21.6;2.9;327
01013;Arandas;1;7.5;0;0;71.4;28.6;14.1;0.1;141
01014;Arbent;6;N/A - résultat non disponible;16.3;0;80.7;3;23.5;24.1;3409
01015;Arboys en Bugey;1;30.1;3.2;0.3;56.3;40.2;22.5;7.3;667
01016;Arbigny;9;10.6;3;0;20.7;74.5;17.5;5.5;459
01017;Argis;4;12.5;7.3;0;62;30.7;7.8;0.5;432
01019;Armix;0;107.4;0;0;67.8;32.2;6.8;0;26
01021;Ars-sur-Formans;4;-9.5;12.4;0;1.3;86.3;5.5;5.8;1498
01022;Artemare;3;60;28.1;0;38.6;33.2;3.8;5.7;1177
01023;Asnières-sur-Saône;8;4.8;0;0;0;89.3;4.7;0.1;77
01024;Attignat;5;-0.7;15.8;0;10.6;73.1;18.7;28.2;3336
01025;Bâgé-Dommartin;7;19.9;4.5;0;9.6;85.9;56.9;63.9;4065
01026;Bâgé-le-Châtel;5;N/A - résultat non disponible;59.5;0;0;40.5;0.9;8.6;979
01027;Balan;4;-10.6;21.2;1.9;31.4;43.2;18;10.6;2692
01028;Baneins;2;-13.6;2.9;0;8.3;88.8;8.9;2.7;621
01029;Beaupont;4;-6.7;4.3;0;7.3;88.5;14.1;6.7;700
01030;Beauregard;6;N/A - résultat non disponible;47;0;0;44.1;0.9;2.8;830
01031;Bellignat;1;N/A - résultat non disponible;27.2;0;66.2;6.7;7.8;4.4;3636
01032;Béligneux;2;3.9;17.2;0;30.8;52;13.3;7.8;3434
01033;Valserhône;9;10.6;14.9;0;60;24.3;62.5;84;16295
01034;Belley;7;-26.7;24.2;0.7;17.1;56.1;22.4;64;9239
01035;Belleydoux;0;19;2.1;0;76.7;21.2;17.6;2;306
01036;Valromey-sur-Séran;1;6.5;1.5;0;45;53.5;56.7;7.8;1342
01037;Bénonces;2;9.8;1.8;0;75.4;22.9;15.3;1.8;310
01038;Bény;5;-4.4;1.7;0;16.9;81.4;18.2;9.5;764
01040;Béréziat;1;5.3;3.8;0;15;81.1;10.8;5;480
01041;Bettant;2;N/A - division par 0;12.4;0;72.7;14.9;3.4;1;749
01042;Bey;1;56.1;10.9;0;0;89.1;2.8;6.9;290
01043;Beynost;5;62.7;38.2;0;7.8;54;10.6;34.9;4877
01044;Billiat;2;16.9;2.6;0;55.6;41;13.7;3.7;626
01045;Birieux;1;-11.7;0;0;5.8;57.3;15.8;2.1;284
01046;Biziat;3;24.2;6.4;0;0;93.6;11.4;13.4;904
01047;Blyes;3;0.5;19.2;0;20.6;57.6;9.3;110.2;1292
01049;La Boisse;7;17.4;35.9;0;14;50.1;9.4;27.6;3361
01050;Boissey;1;-13;3.7;0;8.4;87.9;9.1;6.6;386
01051;Bolozon;0;N/A - résultat non disponible;0;0;63.7;28.3;4.9;1.7;95
01052;Bouligneux;2;-17.2;0.4;0;5.1;64.8;26.1;0.8;327
01053;Bourg-en-Bresse;13;-51.8;63.5;0;15.3;21.2;23.9;41.3;41525
01054;Bourg-Saint-Christophe;0;-53.8;12;0;6.1;81.9;9;13;1517
01056;Boyeux-Saint-Jérôme;4;-10.2;0;0;66.8;33.2;16.9;0.8;356
01057;Boz;4;30.5;7.8;0;16.2;71.4;7.3;8;510
01058;Brégnier-Cordon;4;-95.9;8.3;0;45.8;26.7;11;46.3;818
01060;Brénod;3;4.7;2.2;1.6;65;31.2;23.8;2;518
01061;Brens;2;77.2;15.1;0;17.8;63.6;6.9;7.1;1129
01062;Bressolles;0;-39.4;9.8;0;26.6;63.6;7.7;6.8;978
01063;Brion;6;N/A - résultat non disponible;18.8;0;49.8;31.3;4.5;6.9;576
01064;Briord;1;-6.2;7.7;0;48.5;38.1;12.3;17;1099
01065;Buellas;4;-11.8;15.8;0;8;73.9;10.2;13.9;1851
01066;La Burbanche;2;-6.3;0;0;80.8;19.2;10.8;0.2;95
01067;Ceignes;0;N/A - résultat non disponible;5.5;0;62;32.5;10;1.5;261
01068;Cerdon;5;-23;3.3;0;70.3;26.5;12.3;1.6;761
01069;Certines;1;3.2;13;0;31.9;53.1;15.9;13.8;1505
01071;Cessy;1;-10.6;35.9;0;6.5;57.6;6.4;21.3;5307
01072;Ceyzériat;4;70.7;30.8;0;33.8;35.5;9.4;32.9;3285
01073;Ceyzérieu;1;56.5;3.1;13;35.9;48;19.7;3.8;992
01074;Chalamont;2;26.8;3.5;0;13.5;62.9;32.9;11.1;2559
01075;Chaleins;5;1.7;4.4;0;0;95.6;17;18.5;1430
01076;Chaley;2;N/A - résultat non disponible;0;0;100;0;4.6;0.1;124
01077;Challes-la-Montagne;1;1;2.6;0;48.7;48.7;7.7;2.6;189
01078;Challex;2;12.6;7.3;0;27.6;62;8.7;10.7;1619
