#-----------------------------------------------------------------------------
# Date d'extraction : 11/02/2025 - 14h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;NORTXm_seas_JJA;NORTX30D_yr;NORRx1d_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;REF;27.98;29.4;50.94;39;176;
281;41.4149;9.0628;REF;27.99;29.4;50.96;40;176;
282;41.4087;9.1577;REF;27.62;25.8;52.2;34;188;
283;41.4025;9.2527;REF;27.96;29;51.07;39;198;
422;41.4985;8.8808;REF;27.91;28.3;51.68;39;187;
423;41.4925;8.9759;REF;27.66;25.9;53.36;36;186;
424;41.4864;9.071;REF;27.77;27;52.95;37;189;
425;41.4802;9.166;REF;27.28;24.1;54.58;29;181;
426;41.4739;9.261;REF;27.78;27;52.95;37;181;
564;41.5759;8.7935;REF;26.33;8.9;49.79;9;159;
565;41.57;8.8888;REF;26.03;10.2;51.58;9;159;
566;41.564;8.984;REF;25.84;12.5;53.35;9;148;
567;41.5579;9.0791;REF;24.91;13.5;65.74;8;114;
568;41.5517;9.1743;REF;27.19;23.7;54.87;28;181;
569;41.5454;9.2694;REF;27.72;26.3;59.24;37;187;
707;41.6474;8.8014;REF;26.37;9;49.12;9;166;
708;41.6415;8.8967;REF;25.93;11.2;53.72;10;153;
709;41.6355;8.992;REF;25.81;12.9;54.17;9;143;
710;41.6294;9.0873;REF;25.22;14.3;68.07;8;107;
711;41.6232;9.1826;REF;25.13;14.1;68.35;8;125;
712;41.6169;9.2779;REF;27.66;24.3;68.48;10;170;
849;41.7248;8.7138;REF;26.4;9.1;51.88;9;165;
850;41.719;8.8093;REF;26.38;9.1;51.96;9;169;
851;41.713;8.9047;REF;25.77;13.4;53.71;10;143;
852;41.707;9.0001;REF;25.87;17.1;59.65;7;127;
853;41.7009;9.0955;REF;25.24;14.6;66.95;8;115;
854;41.6946;9.1909;REF;23.21;7.1;76.84;10;105;
855;41.6884;9.2863;REF;26.41;19.8;77.32;10;149;
856;41.682;9.3817;REF;27.82;25.4;74.07;10;175;
992;41.7963;8.7216;REF;26.31;9;52.31;9;163;
993;41.7905;8.8171;REF;25.43;12.4;56.94;9;140;
994;41.7845;8.9127;REF;26.56;19.7;57.34;7;138;
995;41.7785;9.0083;REF;23.16;6.9;68.82;10;107;
996;41.7724;9.1038;REF;22.57;4;81.91;7;90;
997;41.7661;9.1993;REF;22.21;3;88.67;6;91;
998;41.7598;9.2948;REF;25.17;13.6;80.28;5;106;
999;41.7535;9.3902;REF;27.54;23.7;75.39;10;170;
1134;41.8737;8.6336;REF;26.51;9.5;48.68;9;163;
1135;41.8679;8.7294;REF;26.52;9.5;53.29;9;153;
1136;41.862;8.8251;REF;25.86;12.3;56.96;9;143;
1137;41.856;8.9207;REF;25.11;14;62.24;8;120;
1138;41.85;9.0164;REF;25.43;15.3;63.57;7;119;
